"redcap_repeat_instance_dv","avg_nrsna","sd_nrsna","n_nrsna"
0,5.27777777777778,1.99448926329114,54
1,4.52941176470588,2.29218621561574,51
2,4.53703703703704,2.22093778393538,54
3,4.02,2.17114659823339,50
4,3.94230769230769,2.26147151069059,52
5,3.92307692307692,2.64831543828024,52
6,3.48,2.29675902976702,50
7,3.3,2.18762754730194,50
8,2.97826086956522,2.02746837689856,46
9,2.47916666666667,1.89050914377451,48
10,2.8,2.0995626366713,50
11,2.85714285714286,2.26384628453435,49
12,2.79591836734694,2.32719065109213,49
13,2.86274509803922,2.28052281587479,51
14,2.63461538461538,1.96068061565912,52
15,2.57777777777778,2.28123659536673,45
16,2.98,2.34294424925179,50
17,2.84444444444444,2.23561620095664,45
18,2.85365853658537,2.1972821349312,41
19,2.73333333333333,2.22996127157565,45
20,2.7037037037037,2.19816032898168,27
21,2.78947368421053,2.14939131870762,19
22,2.33333333333333,1.03279555898864,6
23,2,0.816496580927726,4
24,2,0,2
25,NA,NA,0
