"redcap_repeat_instance_dv","avg_pgaoa","sd_pgaoa","n_pgaoa"
0,70.1698113207547,17.8074485809651,53
1,70.1276595744681,14.9660732575768,47
2,67.1730769230769,18.4727899034633,52
3,68,15.7783561165012,47
4,70.0576923076923,15.9845678783135,52
5,70.3653846153846,16.9370563062109,52
6,72.9411764705882,16.0703600018243,51
7,74.4468085106383,14.5703816765953,47
8,74.6666666666667,14.9909063344173,45
9,73.7755102040816,17.915618542353,49
10,73.5434782608696,16.2038493667251,46
11,75.7777777777778,16.806233812175,45
12,76.75,15.7324708262203,48
13,75.68,16.5571859977251,50
14,73.3137254901961,19.1368651519296,51
15,76.1627906976744,19.0849357604095,43
16,75.0416666666667,18.1728794113451,48
17,77.8809523809524,14.5856634939468,42
18,79.8292682926829,16.7733455801524,41
19,78.8333333333333,17.8420121727899,42
20,78.5357142857143,17.8002957587937,28
21,76.2777777777778,18.4065383381768,18
22,77.6666666666667,14.6104985084927,6
23,83.25,10.5633012516605,4
24,73,1.4142135623731,2
