"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
-2,51,82.9349019607843,10.6745745343876,1.49473941259755,80.0052127120931,85.8645912094755,622.313725490196,347.69638998391,48.6872330182905,526.886748774347,717.740702206046,119.372549019608,100.977811579438,14.139721848342,91.6586941968574,147.086403842358,90.7257446808511,31.0755139692835,4.35144233121219,82.1969177116752,99.254571650027
-1,51,83.69,12.029321842897,1.68444198009719,80.3884937190095,86.9915062809905,685.274509803922,370.895083732927,51.9356999015119,583.480537996958,787.068481610885,119.117647058824,111.399038965123,15.5989855642722,88.5436353528501,149.691658764797,90.4210869565217,34.4370954529663,4.82215789145603,80.9696574892679,99.8725164237756
0,51,83.9978431372549,12.5341888151927,1.7551374967361,80.5577736436522,87.4379126308577,595.921568627451,344.969612756675,48.3054078338027,501.242969273198,690.600167981704,99.0196078431373,94.5556957979959,13.2404457657345,73.0683341422977,124.970881543977,97.0475555555556,18.1036975323671,2.53502471018407,92.0789071235948,102.016203987516
1,52,83.4290384615385,11.7665723363905,1.63172999597355,80.2308476694303,86.6272292536466,606.711538461538,326.830371338037,45.3232177783934,517.878031615887,695.54504530719,114.211538461538,117.429885052609,16.2845950703471,82.2937321236581,146.129344799419,94.4234782608696,14.1904428272288,1.96786035519668,90.5664719646841,98.2804845570551
2,53,83.721320754717,12.1387767153506,1.66738921526777,80.4532378927921,86.9894036166418,555.207547169811,314.816024326453,43.2433066415658,470.450666152342,639.96442818728,99.2264150943396,84.4385624420852,11.5985285560614,76.4932991244593,121.95953106422,95.5604166666667,17.0123620832759,2.33682764985807,90.9802344729449,100.140598860388
3,53,85.0305660377359,10.7094058973147,1.47105003361057,82.1473079718591,87.9138241036126,585.962264150943,304.370533438348,41.8085081224547,504.017588230932,667.906940070955,98,98.5045879446935,13.5306457516163,71.479934326832,124.520065673168,96.6938775510204,22.1101009925636,3.037055941301,90.7412479060704,102.64650719597
4,53,81.6649056603774,10.7923170005763,1.48243874951219,78.7593257113335,84.5704856094212,581.735849056604,300.117678903011,41.2243336250891,500.936155151429,662.535542961778,122.169811320755,101.993351187723,14.0098642381623,94.7104774139566,149.629145227553,93.1366,26.958465302561,3.70302999715095,85.8786612055841,100.394538794416
5,53,82.2605660377358,11.4912795389665,1.57844863796447,79.1668067073255,85.3543253681462,596.547169811321,268.862673413952,36.9311284448927,524.162158059331,668.93218156331,124.943396226415,99.8784675135698,13.7193626239948,98.0534454833854,151.833346969445,92.2922,20.9071743657335,2.87182126145073,86.6634303275566,97.9209696724434
6,53,82.3001886792453,11.7203397316483,1.60991247520944,79.1447602278348,85.4556171306558,547.981132075472,262.17122198509,36.0119869029889,477.397637745613,618.56462640533,118.622641509434,118.657105595379,16.2988069411004,86.6769799048772,150.568303113991,97.2488,21.1010474292686,2.89845177479238,91.567834521407,102.929765478593
7,53,80.5050943396226,11.6834344632181,1.60484314672519,77.3596017720413,83.650586907204,533.358490566038,267.942380024255,36.8047164258857,461.221246371302,605.495734760774,124.094339622642,94.1645989643306,12.9345024177426,98.742714883866,149.445964361417,92.2394,19.7633805265378,2.71470909465777,86.9185701744708,97.5602298255292
8,53,82.3509433962264,13.7109059993735,1.88333778032141,78.6596013467964,86.0422854456564,563.075471698113,259.763786859746,35.6813002565018,493.14012319537,633.010820200857,122.320754716981,128.936742627614,17.710823681036,87.6075403021506,157.033969131812,91.4682692307692,24.1881553188749,3.32249865547914,84.9561718660301,97.9803665955083
9,53,79.9703773584906,11.1397120461099,1.53015712887966,76.9712693858864,82.9694853310947,561.094339622642,252.144514740055,34.6347127412625,493.210302649767,628.978376595516,135.018867924528,103.131449088052,14.1661940075803,107.253127669671,162.784608179386,90.3324,11.7604207477141,1.61541802617988,87.1661806686874,93.4986193313126
10,53,80.2624528301887,11.9833713160652,1.64604264198126,77.0362092519054,83.4886964084719,549.452830188679,256.015591925851,35.1664460865923,480.526595858958,618.3790645184,136.264150943396,121.547418879565,16.6958220038046,103.540339815939,168.987962070853,93.2337254901961,21.8522946127664,3.00164351158248,87.3505042074944,99.1169467728977
11,52,82.1044230769231,10.6622848990484,1.47859288142787,79.2063810293244,85.0024651245217,586.173076923077,272.021389092256,37.7225794767334,512.236821148679,660.109332697474,127.153846153846,100.437354314915,13.9281550367066,99.8546622819013,154.453030025791,88.2409803921569,24.3462573103056,3.37621842684411,81.6235922755424,94.8583685087713
12,53,81.3037735849057,12.7652652547714,1.75344403435,77.8670232775796,84.7405238922317,569.641509433962,283.769278866559,38.9787081764234,493.243241408172,646.039777459752,127.301886792453,111.601038199207,15.3295815443022,97.2559069656205,157.347866619285,92.4436734693878,18.0923816487628,2.48517974644897,87.5727211663478,97.3146257724277
