"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
-46,1,86.83,NA,NA,NA,NA,567,NA,NA,NA,NA,86,NA,NA,NA,NA,99.74,NA,NA,NA,NA
-44,1,75.05,NA,NA,NA,NA,352,NA,NA,NA,NA,117,NA,NA,NA,NA,111.32,NA,NA,NA,NA
-43,1,87.29,NA,NA,NA,NA,632,NA,NA,NA,NA,92,NA,NA,NA,NA,79.9,NA,NA,NA,NA
-42,2,69.675,18.8302535829978,13.315,43.5776,95.7724,369,4.24264068711928,3,363.12,374.88,181.5,150.613744392735,106.5,-27.24,390.24,103.475,23.9779909500358,16.955,70.2432,136.7068
-41,2,78.2,8.17415439051649,5.78,66.8712,89.5288,467,74.953318805774,53,363.12,570.88,138.5,84.1457069611992,59.5,21.88,255.12,92.585,11.1793582105593,7.90499999999999,77.0912,108.0788
-40,2,87.435,4.94267640049397,3.495,80.5848,94.2852,428,117.379725676967,83,265.32,590.68,58.5,10.6066017177982,7.5,43.8,73.2,113.205,20.1030457891335,14.215,85.3436,141.0664
-39,2,81.485,3.9527269068328,2.795,76.0068,86.9632,516.5,255.265548008344,180.5,162.72,870.28,110.5,27.5771644662754,19.5,72.28,148.72,94.57,22.1041579798915,15.63,63.9352,125.2048
-38,2,78.335,7.02157033718241,4.965,68.6036,88.0664,468,132.936074863071,94,283.76,652.24,139.5,91.2167747730646,64.5,13.08,265.92,97.845,1.06773123959168,0.754999999999995,96.3652,99.3248
-37,2,85.98,8.83883476483184,6.25,73.73,98.23,478,264.457936163769,187,111.48,844.52,65,12.7279220613579,9,47.36,82.64,93.495,24.6850977312224,17.455,59.2832,127.7068
-36,1,74.48,NA,NA,NA,NA,397,NA,NA,NA,NA,136,NA,NA,NA,NA,83.47,NA,NA,NA,NA
-33,1,91.65,NA,NA,NA,NA,505,NA,NA,NA,NA,46,NA,NA,NA,NA,98.33,NA,NA,NA,NA
-32,1,66.33,NA,NA,NA,NA,331,NA,NA,NA,NA,168,NA,NA,NA,NA,97.33,NA,NA,NA,NA
-31,3,79.7866666666667,7.25298789005837,4.18751451075429,71.5791382255883,87.9941951077451,467.666666666667,52.4817428572388,30.3003483661675,408.277983868978,527.055349464355,126,71.8401002226472,41.4769012021551,44.7052736437761,207.294726356224,100.086666666667,3.06480559470472,1.76946633511664,96.6185126498381,103.554820683495
-30,3,80.7666666666667,11.9800013912075,6.91665702810573,67.2100188915794,94.3233144417539,362.666666666667,65.7368491284252,37.9531875399741,288.278419088317,437.054914245016,100.333333333333,77.1643268183772,44.5508448604264,13.0136774068977,187.652989259769,100.61,11.3285789046994,6.54055808016411,87.7905061628783,113.429493837122
-29,3,75.4233333333333,9.61572843487863,5.55164340033151,64.5421122686836,86.3045543979831,478,110.394746251803,63.736436465599,353.076584527426,602.923415472574,153,60.0999168052669,34.698703145795,84.9905418342419,221.009458165758,98.1233333333333,23.2915442453551,13.4473793398978,71.7664698271336,124.480196839533
-28,3,80.6166666666667,12.8529153631903,7.4206341448094,66.0722237428403,95.1611095904931,439.333333333333,28.7112057101985,16.5764223455418,406.843545536071,471.823121130595,114.333333333333,93.8314090980911,54.1735893012248,8.15309830293272,220.513568363734,84.6766666666667,7.31467246931353,4.22312811919211,76.3993355530501,92.9539977802832
-27,8,83.07875,8.06625499490669,2.85185180283919,77.4891204664352,88.6683795335648,467.125,83.3142716294325,29.4560432193948,409.391155289986,524.858844710014,93,45.6696210375594,16.146649364939,61.3525672447195,124.64743275528,83.675,17.2366818152451,6.09408729835732,71.7305888952197,95.6194111047803
-26,9,83.2766666666667,3.98244271772991,1.32748090590997,80.6748040910831,85.8785292422502,450.111111111111,116.065115823451,38.6883719411504,374.281902106456,525.940320115766,94.3333333333333,38.1968585095686,12.7322861698562,69.3780524404152,119.288614226251,95.8611111111111,17.3310540969415,5.77701803231382,84.538155767776,107.184066454446
-25,7,80.7971428571429,5.54909216084251,2.09735969425247,76.686317856408,84.9079678578777,436.428571428571,108.39258452935,40.9685460897441,356.130221092673,516.72692176447,107.571428571429,50.7439886188737,19.1794249167188,69.9797557346597,145.163101408197,96.11,21.3870833292746,8.08355767975369,80.2662269476828,111.953773052317
-24,9,82.3477777777778,6.75075510179746,2.25025170059915,77.9372844446034,86.7582711109521,472.666666666667,86.0377823981999,28.6792607994,416.455315499843,528.878017833491,108.222222222222,48.3522951310943,16.1174317103648,76.6320560699073,139.812388374537,101.914444444444,25.8179594038293,8.6059864679431,85.046710967276,118.782177921613
-23,10,79.844,9.75280153482976,3.0841066417648,73.799150982141,85.888849017859,443.4,66.2288960097227,20.9434158309161,402.350904971404,484.449095028595,117.5,74.5464061284423,23.5736434745812,71.2956587898208,163.704341210179,99.494,10.8564964678093,3.43312562478502,92.7650737754214,106.222926224579
-22,13,82.49,5.70533960426546,1.58237649900881,79.3885420619427,85.5914579380573,440,103.636383572566,28.7435611518877,383.6626201423,496.3373798577,97.6923076923077,45.5601884240042,12.6361227294268,72.9255071426312,122.459108241984,95.9,13.0875507003157,3.62983347078637,88.7855263972587,103.014473602741
-21,16,82.468125,8.12021610447243,2.03005402611811,78.4892191088085,86.4470308911915,465.9375,59.2581569631276,14.8145392407819,436.901003088067,494.973996911933,106.375,62.0858276903836,15.5214569225959,75.952944431712,136.797055568288,99.699375,26.89826053081,6.72456513270251,86.5192273399031,112.879522660097
-20,14,85.1192857142857,8.19450328366119,2.19007312444673,80.8267423903701,89.4118290382013,425.857142857143,153.056981416855,40.9061989368356,345.680992940945,506.033292773341,85.2142857142857,56.1881161421559,15.0169057008721,55.7811505405764,114.647420887995,95.2507142857143,12.581304484332,3.36249506136092,88.6602239654469,101.841204605982
-19,18,82.6461111111111,8.93851622039263,2.10682847772853,78.5167272947632,86.775494927459,482.388888888889,157.881988276758,37.2131415125701,409.451131524252,555.326646253526,97,56.9984519913635,13.4346639734097,70.6680586121171,123.331941387883,90.6772222222222,17.5117741250433,4.12756474480841,82.5871953223977,98.7672491220467
-18,20,84.089,10.4018773103199,2.32593047594879,79.5301762671404,88.6478237328596,454.75,69.7460619525915,15.5956935688906,424.182440604974,485.317559395026,89.8,66.9364191642062,14.9674383421585,60.4638208493694,119.136179150631,95.729,20.8911743894024,4.67140860645063,86.5730391313568,104.884960868643
-17,19,83.9378947368421,7.23665098950196,1.66020159752172,80.6838996056995,87.1918898679847,450.842105263158,94.7530492959313,21.7378403406996,408.235938195387,493.448272330929,91.1578947368421,54.5366983047957,12.5115766644721,66.6352044744768,115.680584999207,96.55,19.9770320896551,4.58304547740399,87.5672308642882,105.532769135712
-16,21,81.1228571428571,9.77119805492507,2.13225022462378,76.9436467025945,85.3020675831198,474.142857142857,101.26365869071,22.0975419570643,430.831674907011,517.454039378703,114.666666666667,71.3774007185281,15.5758257953262,84.1380481078273,145.195285225506,88.49,14.2886713868015,3.11804372430322,82.3786343003657,94.6013656996343
-15,18,82.5655555555556,7.84297529244537,1.84860700465555,78.9422858264307,86.1888252846804,450.222222222222,106.067434463151,25.0003340573179,401.221567469879,499.222876974565,95.5,49.4644851799516,11.6588909662151,72.6485737062185,118.351426293782,97.6544444444445,24.8266929929727,5.85170765658918,86.1850974375296,109.123791451359
-14,20,83.368,6.17306168171968,1.38033855496244,80.6625364322736,86.0734635677264,446.6,89.7097072726657,20.0597003703288,407.282987274156,485.917012725844,91.6,47.5066754312098,10.6228155649204,70.779281492756,112.420718507244,94.0885,16.0802632457504,3.59565617135893,87.0410139041365,101.135986095864
-13,24,85.2245833333333,8.24063630888794,1.68211284271897,81.9276421616041,88.5215245050625,475.458333333333,126.802475345015,25.8834468930943,424.726777422869,526.189889243798,85.1666666666667,56.5782771854655,11.5489924691784,62.5306414270769,107.802691906256,101.536666666667,19.3943341494739,3.95885188060382,93.7773169806832,109.29601635265
-12,31,79.1783870967742,9.0610209493832,1.62740740428491,75.9886685843758,82.3681056091726,472.129032258065,124.043471394906,22.2788651443317,428.462456575174,515.795607940955,121.967741935484,57.964060055042,10.4106525128839,101.562863010231,142.372620860736,92.3303225806452,13.9930436250472,2.51322482655043,87.4044019206063,97.256243240684
-11,35,82.3722857142857,7.87360933966205,1.33088288669711,79.7637552563594,84.980816172212,471.771428571429,101.518496058683,17.1597577755272,438.138303331395,505.404553811462,104.771428571429,57.9564165428419,9.7964224060002,85.5704406556682,123.972416487189,97.266,18.367777924462,3.10472113255351,91.1807465801951,103.351253419805
-10,30,79.186,9.20185723382645,1.68002159263628,75.8931576784329,82.4788423215671,470.6,111.558736655351,20.367745517638,430.679218785429,510.520781214571,128.366666666667,72.4152219344531,13.2211501867476,102.453212300641,154.280121032692,101.124333333333,20.2271752478132,3.69296005261248,93.8861316302129,108.362535036454
-9,39,81.3192307692308,8.87336534526824,1.42087561077584,78.5343145721101,84.1041469663514,476.538461538462,82.7099708091779,13.2441949269463,450.579839481647,502.497083595276,115.179487179487,72.4096067321078,11.5948166437648,92.4536465577081,137.905327801266,90.7164102564103,13.381689864017,2.14278529271728,86.5165510826844,94.9162694301361
-8,37,81.9283783783784,10.1751370489033,1.67278222653292,78.6497252143739,85.2070315423829,474.648648648649,106.79190986218,17.5564818337474,440.237944254504,509.059353042794,109.324324324324,69.4394436637876,11.4157742173741,86.9494068582711,131.699241790378,95.6132432432432,12.9228707797141,2.124506869263,91.4492097794878,99.7772767069987
-7,40,83.21125,9.81830346917534,1.55241008606634,80.16852623131,86.25397376869,466.65,91.2619644421823,14.4297835689297,438.367624204898,494.932375795102,97.425,66.4417568347049,10.5053641670363,76.8344862326088,118.015513767391,95.747,15.6313710211229,2.47153676889501,90.9027879329658,100.591212067034
-6,40,82.7375,11.347738450842,1.79423498982657,79.2207994199399,86.2542005800601,451.475,109.722724547157,17.3486860324142,417.471575376468,485.478424623532,97.95,73.6282937533231,11.6416554246224,75.13235536774,120.76764463226,96.34125,14.3993267626632,2.27673346715173,91.8788524043826,100.803647595617
-5,41,78.1119512195122,10.250876601421,1.60091796149981,74.9741520149726,81.2497504240518,451.80487804878,105.770558170078,16.5185859664786,419.428449554482,484.181306543079,131.292682926829,74.591636227676,11.6492564351026,108.460140314028,154.12522553963,99.329756097561,20.0607205114628,3.13295818847107,93.1891580481577,105.470354146964
-4,39,79.6433333333333,11.1653329394659,1.78788415021581,76.1390803989104,83.1475862677563,458.333333333333,106.283714981061,17.0190150594634,424.976063816785,491.690602849882,120.307692307692,73.5094529711204,11.7709329914874,97.236663644377,143.378720971008,100.314358974359,21.4540514876833,3.43539765636201,93.5809795678894,107.047738380829
-3,39,80.5258974358974,9.10147406162688,1.4574022383932,77.6693890486468,83.3824058231481,453.153846153846,92.4455852640775,14.8031408957675,424.139689998142,482.16800230955,117.153846153846,70.7045515029893,11.3217892977904,94.963139130177,139.344553177515,96.4307692307692,15.9805085856449,2.55892933668566,91.4152677308653,101.446270730673
-2,37,81.7375675675676,9.36057999313118,1.53886987146155,78.7213826195029,84.7537525156322,428.378378378378,106.528648038229,17.5132018564937,394.052502739651,462.704254017106,100.405405405405,66.3364569865283,10.9056463500107,79.0303385593845,121.780472251426,102.818918918919,23.9912286962205,3.94413370186988,95.088416863254,110.549420974584
-1,38,81.8521052631579,9.81001120144131,1.59139395840651,78.7329731046811,84.9712374216347,470.763157894737,107.495426479839,17.4380608486169,436.584558631448,504.941757158026,106.947368421053,74.9251689276279,12.1544673819022,83.1246123525242,130.770124489581,99.3502631578947,29.2913996682212,4.75169248108799,90.0369458949623,108.663580420827
